Metode,ATE,ATE_CI_Lower,ATE_CI_Upper,ATT,ATT_CI_Lower,ATT_CI_Upper,Keterangan
Naif (Korelasi),0.050721150622586864,0.024290856340468132,0.07957823495874665,0.050721150622586864,0.024290856340468132,0.07957823495874665,Mengabaikan bias seleksi
Propensity Score Matching (PSM),,,,0.03481447549244154,-0.15731603325133175,0.2631663774041885,ATT diukur via pencocokan 1:1
Inverse Probability Weighting (IPW),0.030965171882926357,0.02787908575167303,0.07816955750011868,0.027316147441736494,0.011153565511026076,0.07485838770360448,Pembobotan peluang terbalik
Doubly Robust (AIPW),0.029496334267083153,0.02235197353187978,0.10849121024476589,0.03935255598526018,-0.03729620246557746,0.061419403074016256,Kombinasi model treatment & outcome
